Subject,Predicate,Object
Power Rangers Lightspeed Rescue,directed_by,Ryuta Tasaki
Power Rangers Lightspeed Rescue,starred_by,Power Rangers Lightspeed Rescue
Power Rangers Lightspeed Rescue,has_genre,Superhero fiction
Power Rangers Lightspeed Rescue,released_on_date,2000-02-12 00:00:00
Power Rangers Lightspeed Rescue,released_on_year,2000
Power Rangers Lightspeed Rescue,directed_by,Jonathan Tzachor
Power Rangers Lightspeed Rescue,has_genre,Action
Power Rangers Lightspeed Rescue,directed_by,Judd Lynn
Power Rangers Lightspeed Rescue,has_genre,Adventure
Power Rangers Lightspeed Rescue,directed_by,Koichi Sakamoto
Power Rangers Lightspeed Rescue,directed_by,Isaac Florentine
Power Rangers Lightspeed Rescue,has_genre,Science fantasy
Little Richard,directed_by,Robert Townsend
Little Richard,starred_by,Jenifer Lewis
Little Richard,has_genre,Dramatic programming
Little Richard,released_on_date,2000-02-20 00:00:00
Little Richard,released_on_year,2000
Little Richard,starred_by,Leon Robinson
Little Richard,starred_by,Carl Lumbly
Little Richard,has_genre,Biography
Little Richard,starred_by,Mel Jackson
Little Richard,starred_by,Tamala Jones
Little Richard,starred_by,Garrett Morris
The Beach Boys: An American Family,directed_by,Jeff Bleckner
The Beach Boys: An American Family,starred_by,Matt Letscher
The Beach Boys: An American Family,has_genre,Drama
The Beach Boys: An American Family,released_on_date,2000-02-27 00:00:00
The Beach Boys: An American Family,released_on_year,2000
The Beach Boys: An American Family,starred_by,Alley Mills
The Beach Boys: An American Family,starred_by,Nick Stabile
The Beach Boys: An American Family,starred_by,Kevin Dunn
The Beach Boys: An American Family,starred_by,Fred Weller
The Beach Boys: An American Family,starred_by,Emmanuelle Vaugier
Bob Martin,starred_by,Michael Barrymore
Bob Martin,has_genre,Sitcom
Bob Martin,released_on_date,2000-04-02 00:00:00
Bob Martin,released_on_year,2000
Mirai Sentai Timeranger,starred_by,Mika Katsumura
Mirai Sentai Timeranger,has_genre,Superhero fiction
Mirai Sentai Timeranger,released_on_date,2000-02-13 00:00:00
Mirai Sentai Timeranger,released_on_year,2000
Mirai Sentai Timeranger,starred_by,Shūhei Izumi
Mirai Sentai Timeranger,starred_by,Masahiro Kuranuki
Mirai Sentai Timeranger,has_genre,Thriller
Mirai Sentai Timeranger,has_genre,Tokusatsu
The Railway Children,starred_by,Richard Attenborough
The Railway Children,has_genre,Drama
The Railway Children,released_on_date,2000-04-23 00:00:00
The Railway Children,released_on_year,2000
The Railway Children,starred_by,Gregor Fisher
The Railway Children,starred_by,Jack Blumenau
The Railway Children,starred_by,Michael Kitchen
The Railway Children,starred_by,Jenny Agutter
The Railway Children,starred_by,David Bamber
The Railway Children,starred_by,Jemima Rooper
The Railway Children,starred_by,Clare Thomas
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,Sue Cleaver
This Is Personal: The Hunt for the Yorkshire Ripper,has_genre,Crime drama
This Is Personal: The Hunt for the Yorkshire Ripper,released_on_date,2000-01-26 00:00:00
This Is Personal: The Hunt for the Yorkshire Ripper,released_on_year,2000
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,John Duttine
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,Maggie Ollerenshaw
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,Alun Armstrong
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,Richard Ridings
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,Gerard Horan
This Is Personal: The Hunt for the Yorkshire Ripper,starred_by,James Laurenson
Anne of Green Gables: The Continuing Story,starred_by,Cameron Daddo
Anne of Green Gables: The Continuing Story,has_genre,Drama
Anne of Green Gables: The Continuing Story,released_on_date,2000-03-05 00:00:00
Anne of Green Gables: The Continuing Story,released_on_year,2000
Anne of Green Gables: The Continuing Story,starred_by,Jonathan Crombie
Anne of Green Gables: The Continuing Story,starred_by,Megan Follows
Anne of Green Gables: The Continuing Story,starred_by,Schuyler Grant
Child of Our Time,starred_by,Robert Winston
Child of Our Time,has_genre,Documentary
Child of Our Time,released_on_date,2000-02-23 00:00:00
Child of Our Time,released_on_year,2000
